Date,Open,High,Low,Close,Volume
22-Dec-16,3.85,3.92,3.80,3.88,1174335
21-Dec-16,4.01,4.07,3.82,3.83,1972861
20-Dec-16,4.06,4.17,3.92,4.00,6784888
19-Dec-16,3.96,4.24,3.94,4.05,5939398
16-Dec-16,4.01,4.16,3.86,3.95,7340909
15-Dec-16,4.95,4.99,3.83,3.89,10806891
14-Dec-16,6.96,7.00,6.75,6.90,594188
13-Dec-16,6.88,7.07,6.82,6.97,738289
12-Dec-16,6.94,7.00,6.77,6.84,545574
9-Dec-16,7.06,7.14,6.92,6.95,759367
8-Dec-16,6.88,7.06,6.76,7.02,757677
7-Dec-16,6.96,6.99,6.76,6.88,654956
6-Dec-16,6.96,7.04,6.75,6.98,949836
5-Dec-16,6.95,7.09,6.90,6.94,692073
2-Dec-16,7.10,7.20,6.87,6.90,1056291
1-Dec-16,7.61,7.68,7.09,7.10,1160417
30-Nov-16,7.70,7.72,7.54,7.61,518092
29-Nov-16,7.70,7.84,7.63,7.70,502211
28-Nov-16,7.95,7.95,7.70,7.71,507395
25-Nov-16,7.99,7.99,7.86,7.95,221214
23-Nov-16,7.80,8.00,7.70,8.00,401789
22-Nov-16,7.93,7.99,7.60,7.94,747764
21-Nov-16,7.61,7.87,7.55,7.87,495683
18-Nov-16,7.69,7.75,7.54,7.61,1019204
17-Nov-16,7.74,7.77,7.61,7.65,417548
16-Nov-16,8.01,8.01,7.68,7.70,735521
15-Nov-16,8.24,8.32,7.96,8.08,1027546
14-Nov-16,8.03,8.27,7.83,8.26,853997
11-Nov-16,7.74,8.10,7.70,7.96,1102592
10-Nov-16,7.77,7.88,7.44,7.78,1085797
9-Nov-16,7.49,7.83,7.35,7.60,1525086
8-Nov-16,7.24,7.40,7.16,7.37,728011
7-Nov-16,6.98,7.34,6.91,7.29,1534778
4-Nov-16,6.73,7.10,6.65,6.89,2173766
3-Nov-16,7.40,7.40,6.61,6.65,6499084
2-Nov-16,8.28,8.38,8.23,8.28,1813448
1-Nov-16,8.57,8.57,8.25,8.35,896141
31-Oct-16,8.50,8.57,8.36,8.50,816884
28-Oct-16,8.48,8.73,8.25,8.52,828144
27-Oct-16,8.55,8.70,8.42,8.50,890327
26-Oct-16,8.69,8.86,8.50,8.60,610410
25-Oct-16,8.94,8.94,8.64,8.75,800403
24-Oct-16,9.04,9.07,8.87,8.99,550851
21-Oct-16,8.81,9.07,8.74,9.01,756442
20-Oct-16,8.65,8.86,8.51,8.85,602025
19-Oct-16,8.72,8.74,8.40,8.65,714986
18-Oct-16,8.56,8.82,8.52,8.69,931620
17-Oct-16,8.61,8.61,8.37,8.50,910859
14-Oct-16,8.55,8.55,8.25,8.53,1298423
13-Oct-16,8.33,8.67,8.31,8.53,1180663
12-Oct-16,8.35,8.62,8.35,8.40,966972
11-Oct-16,8.79,8.85,8.39,8.39,2173380
10-Oct-16,8.94,9.28,8.84,9.05,710146
7-Oct-16,9.02,9.02,8.73,8.87,684924
6-Oct-16,8.92,9.12,8.86,9.01,571036
5-Oct-16,8.84,9.13,8.80,9.00,441946
4-Oct-16,8.89,9.06,8.70,8.81,568963
3-Oct-16,8.92,9.00,8.77,8.91,552381
30-Sep-16,8.89,9.08,8.76,8.96,678178
29-Sep-16,9.10,9.11,8.71,8.82,817797
28-Sep-16,9.11,9.11,8.82,9.02,967591
27-Sep-16,9.19,9.40,9.03,9.06,1015799
26-Sep-16,9.10,9.44,9.04,9.22,885693
23-Sep-16,9.27,9.38,9.04,9.13,924108
22-Sep-16,9.40,9.50,8.96,9.30,1462224
21-Sep-16,8.83,9.40,8.82,9.29,1676725
20-Sep-16,8.55,8.85,8.52,8.80,1110402
19-Sep-16,8.43,8.59,8.31,8.50,700778
16-Sep-16,8.46,8.54,8.25,8.42,1641747
15-Sep-16,8.36,8.47,8.12,8.45,1011605
14-Sep-16,8.36,8.50,8.23,8.30,698698
13-Sep-16,8.48,8.57,8.13,8.31,922856
12-Sep-16,8.29,8.59,8.28,8.58,805972
9-Sep-16,8.62,8.70,8.40,8.40,1186985
8-Sep-16,8.81,8.93,8.65,8.73,779471
7-Sep-16,8.44,8.85,8.31,8.85,1341369
6-Sep-16,8.24,8.55,8.24,8.47,882550
2-Sep-16,8.30,8.35,8.12,8.28,985438
1-Sep-16,8.35,8.44,8.20,8.30,1164866
31-Aug-16,8.37,8.52,8.18,8.33,2039235
30-Aug-16,8.36,8.58,8.30,8.43,1359870
29-Aug-16,8.46,8.60,8.35,8.40,1029642
26-Aug-16,8.41,8.64,8.32,8.46,961977
25-Aug-16,8.55,8.77,8.28,8.46,1127199
24-Aug-16,8.81,8.93,8.45,8.56,1023082
23-Aug-16,8.86,8.95,8.75,8.85,733071
22-Aug-16,8.85,9.13,8.76,8.86,1002818
19-Aug-16,9.06,9.06,8.83,8.88,1026464
18-Aug-16,8.82,9.24,8.66,9.11,2081726
17-Aug-16,8.42,9.00,8.30,8.86,2090696
16-Aug-16,8.55,8.65,8.40,8.46,924182
15-Aug-16,8.26,8.65,8.20,8.60,776625
12-Aug-16,8.35,8.54,8.24,8.27,945554
11-Aug-16,8.40,8.57,8.23,8.39,825162
10-Aug-16,8.51,8.73,8.23,8.33,855469
9-Aug-16,8.61,8.65,8.44,8.55,1059292
8-Aug-16,8.94,8.99,8.57,8.65,1630377
5-Aug-16,9.00,9.24,8.53,8.88,5155403
4-Aug-16,7.75,7.89,7.59,7.75,1460385
3-Aug-16,8.33,8.44,7.40,7.75,2641157
2-Aug-16,8.57,8.74,8.19,8.43,1353039
1-Aug-16,8.60,8.95,8.50,8.62,1225357
29-Jul-16,8.53,8.63,8.29,8.55,1123034
28-Jul-16,8.09,8.92,8.04,8.60,2313261
27-Jul-16,7.83,8.10,7.77,8.10,947458
26-Jul-16,7.82,7.94,7.74,7.83,583830
25-Jul-16,7.96,8.03,7.63,7.86,1181031
22-Jul-16,7.88,8.08,7.84,7.95,829479
21-Jul-16,7.80,8.08,7.80,7.91,1266766
20-Jul-16,7.82,8.00,7.76,7.91,831684
19-Jul-16,7.96,8.09,7.72,7.76,951670
18-Jul-16,8.07,8.08,7.94,8.01,586845
15-Jul-16,7.98,8.09,7.88,8.02,1294698
14-Jul-16,7.80,7.94,7.73,7.93,827685
13-Jul-16,7.76,7.89,7.71,7.75,907884
12-Jul-16,7.50,7.83,7.40,7.78,954648
11-Jul-16,7.52,7.57,7.40,7.51,984274
8-Jul-16,7.37,7.59,7.24,7.53,1250511
7-Jul-16,7.39,7.42,7.10,7.33,1569149
6-Jul-16,7.04,7.57,7.01,7.42,1867701
5-Jul-16,6.96,7.18,6.76,7.10,1887087
1-Jul-16,7.00,7.12,6.86,7.03,1539201
30-Jun-16,7.39,7.39,6.85,7.04,2467533
29-Jun-16,7.65,7.68,6.79,7.36,5220460
28-Jun-16,7.98,8.16,7.41,7.57,1940749
27-Jun-16,8.14,8.17,7.73,7.76,1615596
24-Jun-16,8.29,8.47,8.06,8.13,3593200
23-Jun-16,8.88,9.06,8.33,8.60,2972764
22-Jun-16,8.81,9.15,8.72,8.79,776379
21-Jun-16,8.87,8.98,8.68,8.81,916543
20-Jun-16,8.90,9.23,8.83,8.94,1624012
17-Jun-16,9.18,9.21,8.61,8.64,2113892
16-Jun-16,9.14,9.36,9.00,9.15,1463880
15-Jun-16,9.09,9.40,9.04,9.22,1373573
14-Jun-16,9.66,9.85,9.00,9.00,1953875
13-Jun-16,9.80,9.88,9.55,9.80,1758056
10-Jun-16,9.80,9.84,9.40,9.56,2191136
9-Jun-16,9.50,10.40,9.50,9.80,3714572
8-Jun-16,9.41,9.78,9.23,9.65,3605069
7-Jun-16,9.50,9.50,9.06,9.20,1615216
6-Jun-16,9.39,9.48,8.99,9.28,2811400
3-Jun-16,10.00,10.13,9.39,9.41,2425173
2-Jun-16,9.76,10.06,9.15,9.63,4093066
1-Jun-16,9.75,9.88,9.53,9.73,2162178
31-May-16,9.32,9.95,9.22,9.64,3391785
27-May-16,8.92,9.23,8.70,9.16,1332464
26-May-16,9.26,9.35,8.82,8.86,1396430
25-May-16,9.42,9.57,9.31,9.33,986401
24-May-16,9.73,9.76,9.36,9.43,1101903
23-May-16,9.65,10.57,9.63,9.66,2880118
