Date,Open,High,Low,Close,Volume
7-Nov-16,4.66,4.69,4.31,4.45,14269
4-Nov-16,4.30,4.52,4.00,4.41,5034
3-Nov-16,4.49,4.65,4.03,4.43,21547
2-Nov-16,4.57,4.77,3.96,4.35,25789
1-Nov-16,4.67,4.72,4.54,4.61,14387
31-Oct-16,4.77,4.91,4.47,4.69,32656
28-Oct-16,4.81,5.09,4.81,4.96,22918
27-Oct-16,5.37,5.38,4.78,4.86,29708
26-Oct-16,5.85,5.85,5.10,5.40,80813
25-Oct-16,6.13,6.13,5.75,5.81,27554
24-Oct-16,6.27,6.33,6.18,6.18,7110
21-Oct-16,6.69,7.22,6.37,6.37,124921
20-Oct-16,5.99,6.80,5.91,6.69,116488
19-Oct-16,5.63,6.15,5.63,6.14,82687
18-Oct-16,5.80,5.90,5.62,5.62,22795
17-Oct-16,6.35,6.40,5.58,5.96,32207
14-Oct-16,6.75,6.89,6.31,6.39,17086
13-Oct-16,6.38,7.10,6.36,6.89,38113
12-Oct-16,6.72,7.37,5.75,6.59,37539
11-Oct-16,7.30,7.30,6.14,6.31,56334
10-Oct-16,6.30,8.50,5.90,7.40,235697
7-Oct-16,6.50,6.60,5.82,6.00,19096
6-Oct-16,6.48,6.70,6.00,6.20,25837
5-Oct-16,6.70,6.80,6.40,6.70,19155
4-Oct-16,6.63,7.49,6.40,6.80,47896
3-Oct-16,6.80,7.00,6.50,6.55,15070
30-Sep-16,6.40,7.50,6.22,6.95,49415
29-Sep-16,6.60,7.70,6.11,6.60,53160
28-Sep-16,6.20,6.74,6.20,6.33,12865
27-Sep-16,6.70,6.85,6.41,6.55,25538
26-Sep-16,6.90,9.30,6.60,6.85,135054
23-Sep-16,6.50,6.70,6.30,6.37,21254
22-Sep-16,6.60,7.00,6.50,6.79,22215
21-Sep-16,7.00,7.00,6.70,6.72,15647
20-Sep-16,7.10,7.10,6.70,6.78,29968
19-Sep-16,7.65,7.65,7.10,7.21,17946
16-Sep-16,10.00,10.00,7.30,8.00,93078
15-Sep-16,11.50,12.20,11.00,11.70,4011
14-Sep-16,10.80,14.40,9.90,11.33,27631
13-Sep-16,10.60,11.00,9.20,10.60,6361
12-Sep-16,10.42,10.80,10.00,10.30,8788
9-Sep-16,10.60,10.80,10.01,10.50,9875
8-Sep-16,10.75,10.90,10.50,10.50,744
7-Sep-16,10.61,11.10,10.50,10.70,4010
6-Sep-16,11.22,11.25,10.50,10.70,4333
2-Sep-16,11.60,11.89,10.50,10.90,7287
1-Sep-16,11.00,12.00,10.34,11.26,60445
31-Aug-16,9.20,16.00,9.20,11.80,781282
30-Aug-16,8.90,9.50,8.89,9.20,12427
29-Aug-16,8.80,8.80,8.50,8.70,278
26-Aug-16,8.68,9.00,8.53,8.53,318
25-Aug-16,8.80,8.80,8.50,8.50,594
24-Aug-16,8.80,8.80,8.70,8.80,510
23-Aug-16,8.80,8.80,8.20,8.60,575
22-Aug-16,8.20,8.80,8.20,8.70,2742
19-Aug-16,9.20,9.20,8.20,8.20,1090
18-Aug-16,8.60,9.20,8.60,9.00,2199
17-Aug-16,8.78,8.79,8.70,8.79,132
16-Aug-16,9.00,9.11,8.75,8.90,6313
15-Aug-16,8.58,9.20,8.58,9.00,5054
12-Aug-16,8.80,9.10,8.63,9.00,490
11-Aug-16,9.05,9.10,8.54,9.10,1237
10-Aug-16,8.55,9.30,8.55,8.98,2396
9-Aug-16,7.90,8.89,7.83,8.50,284
8-Aug-16,8.70,9.00,8.00,8.10,1618
5-Aug-16,8.10,9.29,8.00,8.70,3523
4-Aug-16,8.83,9.70,8.00,8.77,4136
3-Aug-16,8.96,9.80,8.06,9.10,3758
2-Aug-16,7.80,8.50,7.20,8.48,4714
1-Aug-16,10.50,10.50,7.90,8.30,1926
29-Jul-16,11.60,11.60,8.20,8.70,20757
28-Jul-16,9.40,11.80,9.40,10.40,49284
27-Jul-16,9.40,9.60,8.20,9.55,12637
26-Jul-16,7.41,9.94,7.39,9.42,13392
